record_id,source_file,source_row,organization_name_original,unresolved_q_identifier,input_website,final_website,canonical_website,normalized_domain,original_status,career_url,link_text,score,ats_provider_detected,evidence,candidate_count,initial_classification,classification_reason,retry_category,recommended_next_action,processing_queue,error,organization_name_resolved,ottawa_relationship,ottawa_evidence,validation_status,validation_notes,last_processed
6,new_urls,6,Jobs,no,https://jobs.actalentservices.com/,https://jobs.actalentservices.com/,https://jobs.actalentservices.com/,jobs.actalentservices.com,FOUND,https://jobs.actalentservices.com/,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
13,new_urls,13,Agencegeminy,no,https://agencegeminy.com/careers,https://agencegeminy.com/careers,https://agencegeminy.com/careers,agencegeminy.com,FOUND,https://agencegeminy.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
15,new_urls,15,Agilegridsolutions,no,https://agilegridsolutions.com/careers,https://agilegridsolutions.com/careers,https://agilegridsolutions.com/careers,agilegridsolutions.com,FOUND,https://agilegridsolutions.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
22,new_urls,22,Alexanderchapman,no,https://alexanderchapman.com/careers,https://alexanderchapman.com/careers,https://alexanderchapman.com/careers,alexanderchapman.com,FOUND,https://alexanderchapman.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
44,new_urls,44,Careers,no,https://careers.aspentech.com/,https://careers.aspentech.com/,https://careers.aspentech.com/,careers.aspentech.com,FOUND,https://careers.aspentech.com/,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
48,new_urls,48,Auroramj,no,https://www.auroramj.com/pages/careers,https://www.auroramj.com/pages/careers,https://www.auroramj.com/pages/careers,auroramj.com,FOUND,https://www.auroramj.com/pages/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
54,new_urls,54,Careers,no,https://careers.bdo.ca/,https://careers.bdo.ca/,https://careers.bdo.ca/,careers.bdo.ca,FOUND,https://careers.bdo.ca/,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
59,new_urls,59,Benihealth,no,https://benihealth.com/careers,https://benihealth.com/careers,https://benihealth.com/careers,benihealth.com,FOUND,https://benihealth.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
74,new_urls,74,Careers,no,https://careers.broadcom.com/,https://careers.broadcom.com/,https://careers.broadcom.com/,careers.broadcom.com,FOUND,https://careers.broadcom.com/,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
76,new_urls,76,Careers,no,https://careers.bsigroup.com/,https://careers.bsigroup.com/,https://careers.bsigroup.com/,careers.bsigroup.com,FOUND,https://careers.bsigroup.com/,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
88,new_urls,88,Candlestickgames,no,https://candlestickgames.com/careers,https://candlestickgames.com/careers,https://candlestickgames.com/careers,candlestickgames.com,FOUND,https://candlestickgames.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
92,new_urls,92,Ccgcyber,no,https://ccgcyber.com/careers,https://ccgcyber.com/careers,https://ccgcyber.com/careers,ccgcyber.com,FOUND,https://ccgcyber.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
96,new_urls,96,Cftgroup,no,https://cftgroup.com/careers,https://cftgroup.com/careers,https://cftgroup.com/careers,cftgroup.com,FOUND,https://cftgroup.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
103,new_urls,103,Cisquality,no,https://cisquality.com/careers,https://cisquality.com/careers,https://cisquality.com/careers,cisquality.com,FOUND,https://cisquality.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
106,new_urls,106,Claio,no,https://claio.com/careers,https://claio.com/careers,https://claio.com/careers,claio.com,FOUND,https://claio.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
115,new_urls,115,Colorstechsolar,no,https://colorstechsolar.com/careers,https://colorstechsolar.com/careers,https://colorstechsolar.com/careers,colorstechsolar.com,FOUND,https://colorstechsolar.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
123,new_urls,123,Cozybyme,no,https://cozybyme.com/careers,https://cozybyme.com/careers,https://cozybyme.com/careers,cozybyme.com,FOUND,https://cozybyme.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
127,new_urls,127,Curated,no,https://curated.com/careers,https://curated.com/careers,https://curated.com/careers,curated.com,FOUND,https://curated.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
143,new_urls,143,Dotandcompany,no,https://dotandcompany.com/careers,https://dotandcompany.com/careers,https://dotandcompany.com/careers,dotandcompany.com,FOUND,https://dotandcompany.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
145,new_urls,145,Draftandgoal,no,https://draftandgoal.com/careers,https://draftandgoal.com/careers,https://draftandgoal.com/careers,draftandgoal.com,FOUND,https://draftandgoal.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
147,new_urls,147,Careers,no,https://careers.dynacare.ca/,https://careers.dynacare.ca/,https://careers.dynacare.ca/,careers.dynacare.ca,FOUND,https://careers.dynacare.ca/,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
149,new_urls,149,Echoworx,no,https://echoworx.com/careers,https://echoworx.com/careers,https://echoworx.com/careers,echoworx.com,FOUND,https://echoworx.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
162,new_urls,162,Epicwinesandspirits,no,https://epicwinesandspirits.com/careers,https://epicwinesandspirits.com/careers,https://epicwinesandspirits.com/careers,epicwinesandspirits.com,FOUND,https://epicwinesandspirits.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
186,new_urls,186,Gigabrands,no,https://gigabrands.com/careers,https://gigabrands.com/careers,https://gigabrands.com/careers,gigabrands.com,FOUND,https://gigabrands.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
188,new_urls,188,Globalpartnersolutions,no,https://globalpartnersolutions.com/careers,https://globalpartnersolutions.com/careers,https://globalpartnersolutions.com/careers,globalpartnersolutions.com,FOUND,https://globalpartnersolutions.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
196,new_urls,196,Grovetalent,no,https://grovetalent.ca/careers,https://grovetalent.ca/careers,https://grovetalent.ca/careers,grovetalent.ca,FOUND,https://grovetalent.ca/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
203,new_urls,203,Careers,no,https://careers.hbxgroup.com/,https://careers.hbxgroup.com/,https://careers.hbxgroup.com/,careers.hbxgroup.com,FOUND,https://careers.hbxgroup.com/,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,
