record_id,source_file,source_row,organization_name_original,unresolved_q_identifier,input_website,final_website,canonical_website,normalized_domain,original_status,career_url,link_text,score,ats_provider_detected,evidence,candidate_count,initial_classification,classification_reason,retry_category,recommended_next_action,processing_queue,error,organization_name_resolved,ottawa_relationship,ottawa_evidence,validation_status,validation_notes,last_processed
2,found.csv,3,"2025 IEEE International Conference on Communications, Montréal, Canada, 8-12 June 2025",no,https://icc2025.ieee-icc.org/,https://icc2025.ieee-icc.org/,https://icc2025.ieee-icc.org/,icc2025.ieee-icc.org,FOUND,https://icc2025.ieee-icc.org/program/career-fair,Career Fair,80,,strong careers/jobs link text,2,likely_false_positive,"Event, award, education, or career-resource terminology",,review_then_reject_or_reclassify,false_positive_review,,,,,unreviewed,,2026-07-17
5,found.csv,6,30th International Conference on Very Large Data Bases,no,https://vldb.org/,https://vldb.org/,https://vldb.org/,vldb.org,FOUND,https://vldb.org/awards_early_career.html,Early Career Award,80,,strong careers/jobs link text,1,likely_false_positive,"Event, award, education, or career-resource terminology",,review_then_reject_or_reclassify,false_positive_review,,,,,unreviewed,,2026-07-17
6,found.csv,7,31st International Conference on Software Engineering,no,https://cs.uoregon.edu/,https://scds.uoregon.edu/cs,https://scds.uoregon.edu/cs,scds.uoregon.edu,FOUND,https://scds.uoregon.edu/cs/graduate-programs/career,Careers for Graduates Career and Professional Development,140,,strong careers/jobs link text; careers/jobs URL path,3,likely_false_positive,"Event, award, education, or career-resource terminology",,review_then_reject_or_reclassify,false_positive_review,,,,,unreviewed,,2026-07-17
11,found.csv,12,4th International Conference on Biomedical Ontology,no,https://www2.unb.ca/,https://www.unb.ca/,https://www.unb.ca/,unb.ca,FOUND,https://www.unb.ca/careerconnections,Career Connections,80,,strong careers/jobs link text,3,likely_false_positive,"Event, award, education, or career-resource terminology",,review_then_reject_or_reclassify,false_positive_review,,,,,unreviewed,,2026-07-17
261,found.csv,262,Artist-Run Centres and Collectives Conference,no,https://arca.art/,https://www.arca.art/en/,https://www.arca.art/en/,arca.art,FOUND,https://www.arca.art/en/press-releases/job-posting-arca-communications-coordinator/,Job Posting: ARCA Communications Coordinator Job Posting: ARCA Communications Coordinator,80,,strong careers/jobs link text,1,likely_false_positive,"Event, award, education, or career-resource terminology",,review_then_reject_or_reclassify,false_positive_review,,,,,unreviewed,,2026-07-17
362,found.csv,363,Baptist General Conference of Canada,no,https://bgc.ca/,https://www.bgc.ca/,https://www.bgc.ca/,bgc.ca,FOUND,https://www.bgc.ca/ministry-opportunities,Job Opportunities,80,,strong careers/jobs link text,2,likely_false_positive,"Event, award, education, or career-resource terminology",,review_then_reject_or_reclassify,false_positive_review,,,,,unreviewed,,2026-07-17
505,found.csv,506,Borden Ladner Gervais LLP,no,https://blg.com/,https://www.blg.com/en,https://www.blg.com/en,blg.com,FOUND,https://www.blg.com/en/careers/business-professionals/career-development,Career Development,140,,strong careers/jobs link text; careers/jobs URL path,10,likely_false_positive,"Event, award, education, or career-resource terminology",,review_then_reject_or_reclassify,false_positive_review,,,,,unreviewed,,2026-07-17
639,found.csv,640,Canadian Academy of Recording Arts and Sciences,no,https://carasonline.ca/,https://junoawards.ca/,https://junoawards.ca/,junoawards.ca,FOUND,https://junoawards.ca/about-us/careers/,Careers,140,,strong careers/jobs link text; careers/jobs URL path,2,likely_false_positive,"Event, award, education, or career-resource terminology",,review_then_reject_or_reclassify,false_positive_review,,,,,unreviewed,,2026-07-17
641,found.csv,642,Canadian Airports Council,no,https://canadasairports.ca/,https://canadasairports.ca/,https://canadasairports.ca/,canadasairports.ca,FOUND,https://canadasairports.ca/about-canadas-airports/careers/,Career Center,140,,strong careers/jobs link text; careers/jobs URL path,2,likely_false_positive,"Event, award, education, or career-resource terminology",,review_then_reject_or_reclassify,false_positive_review,,,,,unreviewed,,2026-07-17
643,found.csv,644,Canadian Anesthesiologists' Society,no,https://cas.ca/,https://www.cas.ca/en/home,https://www.cas.ca/en/home,cas.ca,FOUND,https://www.cas.ca/en/practice-resources/career-centre,Career Centre,80,,strong careers/jobs link text,4,likely_false_positive,"Event, award, education, or career-resource terminology",,review_then_reject_or_reclassify,false_positive_review,,,,,unreviewed,,2026-07-17
682,found.csv,683,Canadian Child Health Clinician Scientist Program,no,https://cchcsp.ca/,https://cchcsp.ca/,https://cchcsp.ca/,cchcsp.ca,FOUND,https://cchcsp.ca/index.php/training-path-details/?intPath=3,Career Development Award,80,,strong careers/jobs link text,2,likely_false_positive,"Event, award, education, or career-resource terminology",,review_then_reject_or_reclassify,false_positive_review,,,,,unreviewed,,2026-07-17
687,found.csv,688,Canadian Bar Association,no,https://cba.org/,https://cba.org/home/,https://cba.org/home/,cba.org,FOUND,https://cba.org/career/job-board/,CBA Career Centre,140,,strong careers/jobs link text; careers/jobs URL path,4,likely_false_positive,"Event, award, education, or career-resource terminology",,review_then_reject_or_reclassify,false_positive_review,,,,,unreviewed,,2026-07-17
692,found.csv,693,Canadian Council on International Law,no,https://ccil-ccdi.ca/,https://www.ccil-ccdi.ca/,https://www.ccil-ccdi.ca/,ccil-ccdi.ca,FOUND,https://www.ccil-ccdi.ca/career-awards,Career Awards,80,,strong careers/jobs link text,1,likely_false_positive,"Event, award, education, or career-resource terminology",,review_then_reject_or_reclassify,false_positive_review,,,,,unreviewed,,2026-07-17
696,found.csv,697,Canadian Dental Hygienists Association,no,https://cdha.ca/,https://www.cdha.ca/,https://www.cdha.ca/,cdha.ca,FOUND,https://www.cdha.ca/cdha/Career_folder/CDHA/Career/Career_Centre.aspx?,Career CentreCareer Information,140,,strong careers/jobs link text; careers/jobs URL path,10,likely_false_positive,"Event, award, education, or career-resource terminology",,review_then_reject_or_reclassify,false_positive_review,,,,,unreviewed,,2026-07-17
707,found.csv,708,Canadian Geophysical Union,no,https://cgu-ugc.ca/,https://cgu-ugc.ca/,https://cgu-ugc.ca/,cgu-ugc.ca,FOUND,https://cgu-ugc.ca/awards/cgu-early-career-scientist-award/,Early Career Scientist Award,80,,strong careers/jobs link text,5,likely_false_positive,"Event, award, education, or career-resource terminology",,review_then_reject_or_reclassify,false_positive_review,,,,,unreviewed,,2026-07-17
710,found.csv,711,Canadian Frailty Network,no,https://cfn-nce.ca/,https://www.cfn-nce.ca/,https://www.cfn-nce.ca/,cfn-nce.ca,FOUND,https://www.cfn-nce.ca/news/canadian-frailty-network-announces-recipients-of-early-career-researcher-awards/,Canadian Frailty Network announces recipients of Early Career Researcher Awards,80,,strong careers/jobs link text,4,likely_false_positive,"Event, award, education, or career-resource terminology",,review_then_reject_or_reclassify,false_positive_review,,,,,unreviewed,,2026-07-17
