record_id,source_file,source_row,organization_name_original,unresolved_q_identifier,input_website,final_website,canonical_website,normalized_domain,original_status,career_url,link_text,score,ats_provider_detected,evidence,candidate_count,initial_classification,classification_reason,retry_category,recommended_next_action,processing_queue,error,organization_name_resolved,ottawa_relationship,ottawa_evidence,validation_status,validation_notes,last_processed
10070,inaccessible.csv,2,101 Richmond Road,no,https://101richmond.ca/,,https://101richmond.ca/,101richmond.ca,INACCESSIBLE,,,,,,0,website_inaccessible,dns_not_resolved,dns_not_resolved,Try www/non-www and locate replacement official domain,inaccessible_retry,"page.goto: net::ERR_NAME_NOT_RESOLVED at https://101richmond.ca/
Call log:
[2m  - navigating to ""https://101richmond.ca/"", waiting until ""domcontentloaded""[22m",,,,unreviewed,,2026-07-17
10071,inaccessible.csv,3,123 Certification (Canada),no,https://123arc.com/,,https://123arc.com/,123arc.com,INACCESSIBLE,,,,,,0,website_inaccessible,dns_not_resolved,dns_not_resolved,Try www/non-www and locate replacement official domain,inaccessible_retry,"page.goto: net::ERR_NAME_NOT_RESOLVED at https://123arc.com/
Call log:
[2m  - navigating to ""https://123arc.com/"", waiting until ""domcontentloaded""[22m",,,,unreviewed,,2026-07-17
10072,inaccessible.csv,4,10-21 SunRise Delivery,no,https://1021sunrise.com/,,https://1021sunrise.com/,1021sunrise.com,INACCESSIBLE,,,,,,0,website_inaccessible,certificate_error,certificate_error,Try canonical domain variant; locate current official site,inaccessible_retry,"page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://1021sunrise.com/
Call log:
[2m  - navigating to ""https://1021sunrise.com/"", waiting until ""domcontentloaded""[22m",,,,unreviewed,,2026-07-17
10073,inaccessible.csv,5,1010tires.com Inc.,no,https://1010tires.com/,,https://1010tires.com/,1010tires.com,INACCESSIBLE,,,,,,0,website_inaccessible,crawler_navigation_collision,crawler_navigation_collision,Retry with one isolated page/context per URL,inaccessible_retry,"page.goto: Navigation to ""https://1010tires.com/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
[2m  - navigating to ""https://1010tires.com/"", waiting until ""domcontentloaded""[22m",,,,unreviewed,,2026-07-17
10074,inaccessible.csv,6,168 Sushi,no,https://168sushibuffet.ca/,,https://168sushibuffet.ca/,168sushibuffet.ca,INACCESSIBLE,,,,,,0,website_inaccessible,connection_reset,connection_reset,Retry slowly in isolated browser context,inaccessible_retry,"page.goto: net::ERR_CONNECTION_RESET at https://168sushibuffet.ca/
Call log:
[2m  - navigating to ""https://168sushibuffet.ca/"", waiting until ""domcontentloaded""[22m",,,,unreviewed,,2026-07-17
10075,inaccessible.csv,7,"3rd Canadian Semantic Web Symposium (CSWS2011), Vancouver, British Columbia, Canada, August 5, 2011",no,https://csws2011.uwaterloo.ca/,,https://csws2011.uwaterloo.ca/,csws2011.uwaterloo.ca,INACCESSIBLE,,,,,,0,website_inaccessible,dns_not_resolved,dns_not_resolved,Try www/non-www and locate replacement official domain,inaccessible_retry,"page.goto: net::ERR_NAME_NOT_RESOLVED at https://csws2011.uwaterloo.ca/
Call log:
[2m  - navigating to ""https://csws2011.uwaterloo.ca/"", waiting until ""domcontentloaded""[22m",,,,unreviewed,,2026-07-17
10076,inaccessible.csv,8,380 Cumberland,no,https://optionsbytown.com/,,https://optionsbytown.com/,optionsbytown.com,INACCESSIBLE,,,,,,0,website_inaccessible,connection_reset,connection_reset,Retry slowly in isolated browser context,inaccessible_retry,"page.goto: net::ERR_CONNECTION_RESET at https://optionsbytown.com/
Call log:
[2m  - navigating to ""https://optionsbytown.com/"", waiting until ""domcontentloaded""[22m",,,,unreviewed,,2026-07-17
10077,inaccessible.csv,9,4th Canadian Semantic Web Symposium,no,https://unbsj.ca/,,https://unbsj.ca/,unbsj.ca,INACCESSIBLE,,,,,,0,website_inaccessible,certificate_error,certificate_error,Try canonical domain variant; locate current official site,inaccessible_retry,"page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://unbsj.ca/
Call log:
[2m  - navigating to ""https://unbsj.ca/"", waiting until ""domcontentloaded""[22m",,,,unreviewed,,2026-07-17
10078,inaccessible.csv,10,À voix haute,no,https://spectaclesavoixhaute.com/,,https://spectaclesavoixhaute.com/,spectaclesavoixhaute.com,INACCESSIBLE,,,,,,0,website_inaccessible,certificate_error,certificate_error,Try canonical domain variant; locate current official site,inaccessible_retry,"page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://spectaclesavoixhaute.com/
Call log:
[2m  - navigating to ""https://spectaclesavoixhaute.com/"", waiting until ""domcontentloaded""[22m",,,,unreviewed,,2026-07-17
10079,inaccessible.csv,11,Absolute Comedy,no,https://ottawa.absolutecomedy.ca/,,https://ottawa.absolutecomedy.ca/,ottawa.absolutecomedy.ca,INACCESSIBLE,,,,,,0,website_inaccessible,dns_not_resolved,dns_not_resolved,Try www/non-www and locate replacement official domain,inaccessible_retry,"page.goto: net::ERR_NAME_NOT_RESOLVED at https://ottawa.absolutecomedy.ca/
Call log:
[2m  - navigating to ""https://ottawa.absolutecomedy.ca/"", waiting until ""domcontentloaded""[22m",,,,unreviewed,,2026-07-17
