record_id,source_file,source_row,organization_name_original,unresolved_q_identifier,input_website,final_website,canonical_website,normalized_domain,original_status,career_url,link_text,score,ats_provider_detected,evidence,candidate_count,initial_classification,classification_reason,retry_category,recommended_next_action,processing_queue,error,organization_name_resolved,ottawa_relationship,ottawa_evidence,validation_status,validation_notes,last_processed
4,found.csv,5,14 lieux,no,https://quebecdanse.org/,https://www.quebecdanse.org/,https://www.quebecdanse.org/,quebecdanse.org,FOUND,https://www.quebecdanse.org/babillard/coordonnateur%c2%b7trice-a-la-diffusion-recherche%c2%b7e/,Emplois 16 juillet 2026 Coordonnateur·trice à la diffusion recherché·e Laval,80,,strong careers/jobs link text,4,needs_content_validation,Candidate is inconclusive from URL and link text,,content_validation,uncertain_found,,,,,unreviewed,,2026-07-17
12,found.csv,13,à coeur d'homme,no,https://acoeurdhomme.com/,https://www.acoeurdhomme.com/,https://www.acoeurdhomme.com/,acoeurdhomme.com,FOUND,https://www.acoeurdhomme.com/emplois/,Emplois,140,,strong careers/jobs link text; careers/jobs URL path,2,needs_content_validation,Candidate is inconclusive from URL and link text,,content_validation,uncertain_found,,,,,unreviewed,,2026-07-17
17,found.csv,18,2degrés,no,https://2degres.com/,https://2degres.com/,https://2degres.com/,2degres.com,FOUND,https://2degres.com/carriere/,Carrière,140,,strong careers/jobs link text; careers/jobs URL path,2,needs_content_validation,Candidate is inconclusive from URL and link text,,content_validation,uncertain_found,,,,,unreviewed,,2026-07-17
26,found.csv,27,Académie Antoine-Manseau,no,https://amanseau.qc.ca/,https://amanseau.qc.ca/,https://amanseau.qc.ca/,amanseau.qc.ca,FOUND,https://amanseau.qc.ca/emplois/,Emplois,140,,strong careers/jobs link text; careers/jobs URL path,1,needs_content_validation,Candidate is inconclusive from URL and link text,,content_validation,uncertain_found,,,,,unreviewed,,2026-07-17
32,found.csv,33,Académie De Médecine Vétérinaire Du Quebec,no,https://amvq.quebec/,https://amvq.quebec/fr/,https://amvq.quebec/fr/,amvq.quebec,FOUND,https://amvq.quebec/fr/offres-demploi-et-petites-annonces,Emplois – Petites annonces,80,,strong careers/jobs link text,1,needs_content_validation,Candidate is inconclusive from URL and link text,,content_validation,uncertain_found,,,,,unreviewed,,2026-07-17
33,found.csv,34,Accès culture,no,https://montreal.ca/,https://montreal.ca/,https://montreal.ca/,montreal.ca,FOUND,https://montreal.ca/carrieres,Carrières,140,,strong careers/jobs link text; careers/jobs URL path,2,needs_content_validation,Candidate is inconclusive from URL and link text,,content_validation,uncertain_found,,,,,unreviewed,,2026-07-17
37,found.csv,38,Accountapotamus Inc.,no,https://accountapotamus.com/,https://accountapotamus.com/,https://accountapotamus.com/,accountapotamus.com,FOUND,https://accountapotamus.com/training-ojg/,Training / Ontario Job Grant,80,,strong careers/jobs link text,3,needs_content_validation,Candidate is inconclusive from URL and link text,,content_validation,uncertain_found,,,,,unreviewed,,2026-07-17
52,found.csv,53,Action patrimoine,no,https://actionpatrimoine.ca/,https://actionpatrimoine.ca/,https://actionpatrimoine.ca/,actionpatrimoine.ca,FOUND,https://actionpatrimoine.ca/contact/,Carrières,80,,strong careers/jobs link text,1,needs_content_validation,Candidate is inconclusive from URL and link text,,content_validation,uncertain_found,,,,,unreviewed,,2026-07-17
56,found.csv,57,Accueil Bonneau,no,https://accueilbonneau.com/,https://www.accueilbonneau.com/,https://www.accueilbonneau.com/,accueilbonneau.com,FOUND,https://www.accueilbonneau.com/a-propos/carrieres/,Faire carrière,140,,strong careers/jobs link text; careers/jobs URL path,1,needs_content_validation,Candidate is inconclusive from URL and link text,,content_validation,uncertain_found,,,,,unreviewed,,2026-07-17
64,found.csv,65,Administrative Sciences Association of Canada,no,https://asac.ca/,https://asac.ca/,https://asac.ca/,asac.ca,FOUND,https://asac.ca/canada-connects-job-market-submit-your-resume/,Canada Connects Job Market,80,,strong careers/jobs link text,5,needs_content_validation,Candidate is inconclusive from URL and link text,,content_validation,uncertain_found,,,,,unreviewed,,2026-07-17
