record_id,source_file,source_row,organization_name_original,unresolved_q_identifier,input_website,final_website,canonical_website,normalized_domain,original_status,career_url,link_text,score,ats_provider_detected,evidence,candidate_count,initial_classification,classification_reason,retry_category,recommended_next_action,processing_queue,error,organization_name_resolved,ottawa_relationship,ottawa_evidence,validation_status,validation_notes,last_processed,checked_at_utc,requested_url,loaded_url,http_status,page_title,detected_ats,jsonld_jobposting_count,probable_job_link_count,sample_job_links,validation_result,validation_reason,body_text_sample,crawl_error
432,new_urls,432,Tenstorrent,no,https://tenstorrent.com/careers/,https://tenstorrent.com/careers/,https://tenstorrent.com/careers/,tenstorrent.com,FOUND,https://tenstorrent.com/careers/,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T01:06:15.599647+00:00,https://tenstorrent.com/careers/,https://tenstorrent.com/careers,200,Careers | Tenstorrent,greenhouse,0,5,https://job-boards.greenhouse.io/tenstorrent/jobs/5160368007 | https://job-boards.greenhouse.io/tenstorrent/jobs/5062499007 | https://job-boards.greenhouse.io/tenstorrent/jobs/5175862007 | https://job-boards.greenhouse.io/tenstorrent/jobs/5070207007 | https://job-boards.greenhouse.io/tenstorrent/jobs/4722600007,confirmed_external_ats_active,greenhouse page with job records or job links,"Skip to main content
Products
Software
Solutions
Support
Company
Careers
Developers
EN
JA
KO
ZH
Some tracking technologies are important for the correct functioning of our websites and are always on. By clicking ""Allow All"" you are also directing us to use optional tracking technologies. Privacy Notice.
Customize
Allow All
Only Necessary
Build With Us

We’re looking for first principle thinkers who believe in an open future. We build RISC-V CPUs, Tensor AI processors, and open-source software to unlock the next innovations in AI. Build now, for tomorrow.

Interested in joining one of our teams?

Hardware

Architecture, SoC, RISC-V, Physical Engineering, Silicon, AI Hardware

Software

Scale Out, Metal, Low Level Kernel, AI Compiler, Product Software Engineering, Infrastructure, RISC-V, Cloud

Systems

FW, SoC Validation, Hardware, Hi-Speed IO, Infra/Tools, Mechanical, PCB/Power, Platform, Silicon + Systems, Si Val/Qual, Systems Software

Experience

Go-to-market, Comms, Growth, Product, Customer Experience, Customer Success, Developer Relations, Sites, Creative

Operations

Business Ops, Finance, HR, IT, Legal, Quality and Functional Safety, Supply Chain, Program Management, Administrative Support

University

Internships, New Grad Roles

All Departments
All Offices
Physical Engineering
Mixed Signal Design

Analog Design Engineer

North America

Apply
Physical Engineering
Mixed Signal Design

Physical Design Engineer: Die-to-Die Interface (RTL to GDSII)

United States

Apply
",
433,new_urls,433,Tesla,no,https://www.tesla.com/careers,https://www.tesla.com/careers,https://www.tesla.com/careers,tesla.com,FOUND,https://www.tesla.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T01:06:16.396104+00:00,https://www.tesla.com/careers,https://www.tesla.com/careers,200,,,0,0,,needs_manual_review,Insufficient evidence for automatic classification,,
434,new_urls,434,Testgorilla,no,https://www.testgorilla.com/careers/,https://www.testgorilla.com/careers/,https://www.testgorilla.com/careers/,testgorilla.com,FOUND,https://www.testgorilla.com/careers/,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T01:06:21.297594+00:00,https://www.testgorilla.com/careers/,https://www.testgorilla.com/careers/,200,Careers - TestGorilla,ashby,0,2,https://jobs.ashbyhq.com/testgorilla/8e76c770-bade-4526-9e0d-25f5b3c4d866 | https://jobs.ashbyhq.com/testgorilla/007f6b53-027e-477d-beb5-630715ed7470,confirmed_external_ats_active,ashby page with job records or job links,"This website uses cookies
We use cookies to offer you a great experience, remember your preferences, analyze site traffic, and serve targeted advertisements. By continuing to use this website, you consent to the use of cookies in accordance with our Cookie Policy
Show details
Accept
Help
Log in
Products
Pricing
Resources
Job seekers
Try for free
Get a free demo
JOIN US, FROM ANYWHERE

At TestGorilla, we’re building a global team of amazing people who want to change the way companies hire. If you’re curious, ambitious, and ready to grow your career with us, we’d love to meet you!

See jobs
120 TEAM MEMBERS ACROSS 46 COUNTRIES

We are proud of our “work from almost anywhere” policy that enables us to find the best talent no matter where they live. Click on a country below to explore our staff directory.

OUR TEAM MEMBERS

BECOME A PART OF SOMETHING BIG
Make work that matters

At TestGorilla, your skills and talent will help thousands of people find their dream jobs every day. You'll also help change the way companies hire in a new (and more equal) era for top talent worldwide.

Find freedom (and an awesome team!)
Be there at the beginning
OUR TESTGORILLA BEHAVIORS

At TestGorilla, we stand for diversity, act with integrity, and put talent first. We celebrate individuality and creativity. We have a vision of 1 billion people in dream jobs, and a mission to democratize opportunities for everyone.

We come as we are, connected by our mission and vision, and united by shared behavi",
435,new_urls,435,Careers,no,https://careers.textron.com/,https://careers.textron.com/,https://careers.textron.com/,careers.textron.com,FOUND,https://careers.textron.com/,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T01:06:21.689850+00:00,https://careers.textron.com/,https://careers.textron.com/,200,Careers Home - Textron,taleo,0,9,https://careers.textron.com/jobs/ | https://careers.textron.com/jobs/ | https://careers.textron.com/business-unit/bell-textron-inc/jobs/ | https://careers.textron.com/business-unit/bell-textron-inc/jobs/ | https://careers.textron.com/business-unit/kautex/jobs/,confirmed_external_ats_active,taleo page with job records or job links,"Skip To Main Content
CAREERS
LIFE AT TEXTRON
INTERNS & ENTRY LEVEL
MILITARY VETERANS
ELEVATE YOUR CAREER
BLOG
EVENTS
Pause Video
IT STARTS
WITH YOU

At Textron, we push the boundaries of innovation, from cutting-edge golf cars to next-gen helicopters. Powered by a culture that embraces wild ideas, we turn creativity into reality.

Keyword
Location
SEARCH
JOBS MAP
ALREADY HAVE AN ACCOUNT?
WHY TEXTRON?

As a global Fortune 500 company, Textron offers unparalleled opportunities to explore several dynamic industries. Fuel your career by exploring your passions. You'll learn from leaders in your field and hone your leadership skills, all while taking advantage of comprehensive benefits and flexible work schedules that cater to your lifestyle.

So why join Textron? It’s more than just a workplace. It’s an experience like no other, with people, places, and possibilities. Together, we’ve forged a culture of innovation that has shaped a century of success. It's time for you to make your mark.

BEGIN YOUR SEARCH

OUR BUSINESSES

Textron is one of the world’s best known multi-industry companies, recognized for our powerful brands. Get to know our industry-leading global network of businesses.

Bell
Kautex
Textron Aviation
Textron Corporate
Textron Specialized Vehicles
Textron Systems
BELL

We are more than aviation experts, we’re pioneers. We challenge what’s possible. From breaking the sound barrier to developing the tiltrotor, we’ve reimagined the experience of flight for more than 85",
436,new_urls,436,Theaceacademy,no,https://theaceacademy.ca/careers,https://theaceacademy.ca/careers,https://theaceacademy.ca/careers,theaceacademy.ca,FOUND,https://theaceacademy.ca/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T01:06:22.156735+00:00,https://theaceacademy.ca/careers,https://www.theaceacademy.ca/careers,,,,0,0,,crawl_failed,All configured retries failed,,HttpClientStatusCodeError: Client error status code returned (status code: 404).
438,new_urls,438,Thesalesfactory,no,https://thesalesfactory.com/careers,https://thesalesfactory.com/careers,https://thesalesfactory.com/careers,thesalesfactory.com,FOUND,https://thesalesfactory.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T01:06:24.104137+00:00,https://thesalesfactory.com/careers,https://thesalesfactory.com/careers,,,,0,0,,crawl_failed,All configured retries failed,,HttpClientStatusCodeError: Client error status code returned (status code: 404).
439,new_urls,439,Salvationarmy,no,https://salvationarmy.ca/careers/,https://salvationarmy.ca/careers/,https://salvationarmy.ca/careers/,salvationarmy.ca,FOUND,https://salvationarmy.ca/careers/,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T01:06:26.807061+00:00,https://salvationarmy.ca/careers/,https://salvationarmy.ca/careers/,,,,0,0,,crawl_failed,All configured retries failed,,HttpClientStatusCodeError: Client error status code returned (status code: 404).
437,new_urls,437,Themobileshop,no,https://www.themobileshop.ca/careers/,https://www.themobileshop.ca/careers/,https://www.themobileshop.ca/careers/,themobileshop.ca,FOUND,https://www.themobileshop.ca/careers/,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T01:06:30.210540+00:00,https://www.themobileshop.ca/careers/,https://www.themobileshop.ca/en/careers/,,,,0,0,,crawl_failed,All configured retries failed,,HttpClientStatusCodeError: Client error status code returned (status code: 404).
441,new_urls,441,Thirdfactor,no,https://thirdfactor.com/careers,https://thirdfactor.com/careers,https://thirdfactor.com/careers,thirdfactor.com,FOUND,https://thirdfactor.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T01:06:31.300395+00:00,https://thirdfactor.com/careers,https://www.thirdfactor.com/careers,,,,0,0,,crawl_failed,All configured retries failed,,HttpClientStatusCodeError: Client error status code returned (status code: 404).
440,new_urls,440,Themesoft,no,https://themesoft.com/careers,https://themesoft.com/careers,https://themesoft.com/careers,themesoft.com,FOUND,https://themesoft.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T01:06:31.749951+00:00,https://themesoft.com/careers,https://www.themesoft.com/careers/,200,"Careers – Themesoft- Digital Business Transformation & Consulting – Themesoft | AI, Cloud & Digital Transformation — Dallas, TX",,0,0,,probable_career_page_needs_review,"Career language detected, but job state is unclear","Expertise
Workforce Solutions
Industries
Company
Careers
Careers at Themesoft
Build the Future. Grow Without Limits.
Join 1,000+ consultants shaping digital transformation across AI, cloud, and cybersecurity — from Dallas to 5 countries worldwide.
View Open Positions
Explore our culture
21+

Years in business

1000+

Global consultants

98%

Client satisfaction

5

Countries worldwide

9+

Industry verticals

WHY THEMESOFT
More than a job. A career with purpose.

We're a women and minority-owned company that believes great work comes from great people — supported, valued, and empowered to grow every day.

🚀
Work on what matters

Deliver real digital transformation for enterprises across banking, healthcare, manufacturing and more — work that creates measurable impact at scale.

🌍
Global reach, local roots

Headquartered in Coppell, TX with offices across the US, Canada, India, Sri Lanka, and Brazil — collaborate globally while staying grounded locally.

📈
Grow with the company

We invest in your success through training, certifications, and a performance-driven culture where your growth is taken seriously at every level.

🤝
Inclusive by design

As a certified women and minority-owned enterprise, diversity isn't a checkbox — it's who we are and how we build smarter, stronger teams every day.

💡
Work on cutting-edge tech

AI, cloud platforms, cybersecurity, and quality engineering — at Themesoft, you're always working on the technologies that are shaping tomorrow.

🛡️
Trusted b",
