record_id,organization_name,monitor_url,source_type,source_provider,source_listing_url,source_api_url,source_stage,previous_result,extraction_result,extraction_reason,jobs_found,extraction_error,extraction_checked_at_utc
19,Aastra Technologies,https://www.mitel.com/careers,ats,workday,https://www.mitel.com/careers,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-19T15:25:16.476908+00:00
1,1Valet,https://1valet.com/careers,ats,bamboohr,https://1valet.com/careers,,stage1,,no_jobs_found,Unknown ATS: bamboohr,0,,2026-07-19T15:25:16.471338+00:00
28,Aboriginal Sport Circle,https://www.aboriginalsportcircle.ca/employment-opportunities,no_openings,,https://www.aboriginalsportcircle.ca/employment-opportunities,,stage1,,confirmed_no_openings,Career page explicitly shows no openings,0,,2026-07-19T15:25:16.896593+00:00
30,Accent Decor,https://placedorleans.com/jobs/,no_openings,,https://placedorleans.com/jobs/,,stage1,,confirmed_no_openings,Career page explicitly shows no openings,0,,2026-07-19T15:25:16.896885+00:00
23,Abbotsford Regional Hospital and Cancer Centre,https://careers.fraserhealth.ca/,ats,icims,https://careers.fraserhealth.ca/,,stage1,,no_jobs_found,Unknown ATS: icims,0,,2026-07-19T15:25:16.804281+00:00
9,9 Story Media Group,https://9story.com/careers/,static_html_listing,,https://9story.com/careers/,,stage1,,jobs_extracted,1 jobs found,1,,2026-07-19T15:25:17.314769+00:00
31,Accents @ Home,https://accentsathome.ca/pages/careers,unknown,,https://accentsathome.ca/pages/careers,,stage1,,needs_manual_review,No jobs found via generic extraction,0,,2026-07-19T15:25:17.639482+00:00
14,A Thinking Ape (Canada),https://athinkingape.com/careers/,ats,greenhouse,https://athinkingape.com/careers/,,stage1,,jobs_extracted,1 jobs found,1,,2026-07-19T15:25:16.476406+00:00
8,3 Brewers,https://www.3brasseurs.ca/en/career,ats,breezy_hr,https://3brasseurs.breezy.hr/,,stage1,,jobs_extracted,Unknown ATS: breezy_hr,18,,2026-07-19T15:25:17.382895+00:00
50,ACEnet,https://www.ace-net.ca/careersinfo/,ats,ukg_pro,https://www.ace-net.ca/careersinfo/,,stage1,,jobs_extracted,Unknown ATS: ukg_pro,2,,2026-07-19T15:25:18.281331+00:00
