record_id,source_file,source_row,organization_name_original,unresolved_q_identifier,input_website,final_website,canonical_website,normalized_domain,original_status,career_url,link_text,score,ats_provider_detected,evidence,candidate_count,initial_classification,classification_reason,retry_category,recommended_next_action,processing_queue,error,organization_name_resolved,ottawa_relationship,ottawa_evidence,validation_status,validation_notes,last_processed,checked_at_utc,requested_url,loaded_url,http_status,page_title,detected_ats,jsonld_jobposting_count,probable_job_link_count,sample_job_links,validation_result,validation_reason,body_text_sample,crawl_error
2,new_urls,2,360learning,no,https://360learning.com/company/careers/,https://360learning.com/company/careers/,https://360learning.com/company/careers/,360learning.com,FOUND,https://360learning.com/company/careers/,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T00:41:34.888906+00:00,https://360learning.com/company/careers/,https://360learning.com/company/careers/,,,,0,0,,crawl_failed,All configured retries failed,,HttpClientStatusCodeError: Client error status code returned (status code: 404).
1,new_urls,1,Jobs,no,https://jobs.ashbyhq.com/11x,https://jobs.ashbyhq.com/11x,https://jobs.ashbyhq.com/11x,jobs.ashbyhq.com,FOUND,https://jobs.ashbyhq.com/11x,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T00:41:35.474764+00:00,https://jobs.ashbyhq.com/11x,https://jobs.ashbyhq.com/11x,200,Jobs,ashby,0,0,,external_ats_needs_review,"ashby detected, but no jobs were confidently identified","Page not found

The page you requested was not found

Powered by 

Privacy PolicySecurityVulnerability Disclosure",
3,new_urls,3,3pillar,no,https://www.3pillar.ai/careers/career-opportunities/,https://www.3pillar.ai/careers/career-opportunities/,https://www.3pillar.ai/careers/career-opportunities/,3pillar.ai,FOUND,https://www.3pillar.ai/careers/career-opportunities/,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T00:41:39.571144+00:00,https://www.3pillar.ai/careers/career-opportunities/,https://www.3pillar.ai/careers/career-opportunities/,200,3Pillar Career Opportunities,,0,0,,probable_career_page_needs_review,"Career language detected, but job state is unclear","Skip to main content
What We Do
HelixAI
Insights
About
Careers
CONTACT
Career opportunities
All Locations
All Employment Types
Driven. Dynamic. Dedicated.

Our team members are the foundation of how we create incredible. Begin your journey with 3Pillar today.

LEARN MORE
SERVICES
AI-Led Product & Platform Modernization
Digital Products & Experiences
AI-Ready Data
AI-Powered Operations
INDUSTRIES
Healthcare
Financial Services
Insurance
High Tech
Information Services
Media
HELIXAI
Helix Pods
ATLAS
AIRE
NEXUS
Data Archeology Platform
The Product Mindset®
Lightwave®
INSIGHTS
Blog
Case Studies
Whitepapers & eBooks
Webinars
The Innovation Engine Podcast
COMPANY
About
Leadership
Strategic Partners
News
Careers
Facebook
 
Twitter
 
LinkedIn
 
YouTube
© 2026 3Pillar Global, Inc. ® All rights reserved  Terms and Conditions Sitemap Privacy Policy",
5,new_urls,5,Abra3,no,https://abra3.com/careers,https://abra3.com/careers,https://abra3.com/careers,abra3.com,FOUND,https://abra3.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T00:41:40.461659+00:00,https://abra3.com/careers,https://abra3.com/careers,,,,0,0,,crawl_failed,All configured retries failed,,HttpClientStatusCodeError: Client error status code returned (status code: 404).
4,new_urls,4,Ca,no,https://www.ca.abbott/en/careers.html,https://www.ca.abbott/en/careers.html,https://www.ca.abbott/en/careers.html,ca.abbott,FOUND,https://www.ca.abbott/en/careers.html,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T00:41:41.457950+00:00,https://www.ca.abbott/en/careers.html,https://www.ca.abbott/en/careers.html,200,Abbott Jobs in Canada / Careers in Canada,,0,0,,probable_career_page_needs_review,"Career language detected, but job state is unclear","CAREERS
MEDIA
(FRANÇAIS)
PRODUCTS
ABOUT US
HOME
CAREERS
Previous

CAREERS

BUILD BETTER, HEALTHIER LIVES, EVERY DAY WITH ABBOTT.

SEARCH JOBS

ABBOTT PROUD TO BE
RANKED AS A MONTRÉAL
TOP EMPLOYER
LEARN MORE

CAREERS

BUILD BETTER, HEALTHIER LIVES, EVERY DAY WITH ABBOTT.

SEARCH JOBS

ABBOTT PROUD TO BE
RANKED AS A MONTRÉAL
TOP EMPLOYER
LEARN MORE

CAREERS

BUILD BETTER, HEALTHIER LIVES, EVERY DAY WITH ABBOTT.

SEARCH JOBS
Next
1
2
DISCOVER CAREERS
WORKING WITH US

Discover unparalleled opportunities at Abbott.

 

 

PROFESSIONALS

Learn how you can make a positive impact in the world.

 

 

STUDENTS

Help others while you gain experience across our global healthcare businesses.

 

 

WORKING AT ABBOTT

Join our global team helping people live fuller, healthier lives. Every day we strive to reach more people in more places with innovative health technologies. Our goal is to reach 3 billion people each year by 2030. At Abbott you can be part of this, doing work that matters while living your own best life personally and professionally.

 

 

PRODUCTS
ABOUT US
RESPONSIBILITY
PARTNERS
CAREERS
MEDIA
SITE MAP
CONTACTS
GLOBAL WEBSITES
PRIVACY POLICY
TERMS & CONDITIONS
ACCESSIBILITY

© 2026 Abbott. All Rights Reserved. Please read the Legal Notice for further details.

Unless otherwise specified, all product and service names appearing in this Internet site are trademarks owned by or licensed to Abbott, its subsidiaries or affiliates. No use of any Abbott trademark, trade name, o",
8,new_urls,8,Actoran,no,https://actoran.ca/careers,https://actoran.ca/careers,https://actoran.ca/careers,actoran.ca,FOUND,https://actoran.ca/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T00:41:46.468587+00:00,https://actoran.ca/careers,https://actoran.ca/careers,,,,0,0,,crawl_failed,All configured retries failed,,HttpClientStatusCodeError: Client error status code returned (status code: 404).
9,new_urls,9,Acvauctions,no,https://www.acvauctions.com/careers,https://www.acvauctions.com/careers,https://www.acvauctions.com/careers,acvauctions.com,FOUND,https://www.acvauctions.com/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T00:41:52.406717+00:00,https://www.acvauctions.com/careers,https://www.acvauctions.com/careers/overview,200,Overview,,0,0,,probable_career_page_needs_review,"Career language detected, but job state is unclear","Life at ACV
About
Our Teams
Locations
Jobs at ACV
Explore Jobs
IGNITE YOUR CAREER AT ACV

Are you ready to fast-track your success and be part of something bigger? Join our team of seasoned, trailblazing professionals at ACV, a cutting-edge tech, software, and commerce powerhouse revolutionizing how automotive dealers succeed.

But we’re not just looking for the ordinary—we seek the best and boldest minds. If you thrive on breakthroughs, embody an entrepreneurial spirit, and never settle for the status quo, ACV is where you want to be. Step inside our world of relentless growth, game-changing technology, and a culture that always asks, ‘What’s next?’

Explore Open Jobs

WHAT DRIVES US

Working at ACV

We’re committed to being one of the best places to work in the United States and beyond. Our culture is built on ingenuity, collaboration, and continuous growth—supported by top-tier benefits that empower our team to thrive.

WHAT DRIVES US

People & Culture

At ACV, we’re committed to fostering an inclusive culture in which every individual is welcomed, valued, and empowered to celebrate their authentic selves. We view the principles of diversity, equity, and inclusion as the driving forces behind our growth, resulting in a dynamic, ever-evolving organization where possibilities—and you—thrive.

With us, it’s not just about the work. It’s about your personal growth and success. With training programs, mentorship, and clear career paths, we provide the roadmap to help you reach ",
7,new_urls,7,Action1,no,https://www.action1.com/careers/,https://www.action1.com/careers/,https://www.action1.com/careers/,action1.com,FOUND,https://www.action1.com/careers/,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T00:41:52.924282+00:00,https://www.action1.com/careers/,https://apply.workable.com/action1/,200,Action1 - Current Openings,workable,0,11,https://apply.workable.com/action1/j/D8A1A5BA83/ | https://apply.workable.com/action1/j/82CB106A7F/ | https://apply.workable.com/action1/j/F7D54F33F6/ | https://apply.workable.com/action1/j/50F9BF8077/ | https://apply.workable.com/action1/j/51F2187CF5/,confirmed_external_ats_active,workable page with job records or job links,"Location
Work type
Product Value Development Manager
Posted 5 days ago
Remote
Serbia
R&D
Full time
Product Security Engineer
Posted 7 days ago
Remote
Serbia
R&D
Full time
Account Manager - EU
Posted 14 days ago
Remote
Cyprus
Malta
United Kingdom
Spain
Sales
Full time
Account Manager - US
Posted 14 days ago
Remote
United States
Sales
Full time
Technical Support Engineer Tier I
Posted 19 days ago
Remote
North Carolina, United States
Operations
Full time
Account Executive - SLED
Posted 22 days ago
Remote
United States
Sales
Full time
Product Security Engineer
Posted 29 days ago
Remote
Cyprus
United Kingdom
Serbia
Spain
Germany
R&D
Full time
Account Executive - Australia and New Zealand
Posted about 1 month ago
Remote
Australia
New Zealand
Sales
Full time
Backend Developer (Node.js, JavaScript, TypeScript)
Posted about 2 months ago
Remote
Poland
R&D
Full time
Senior C++ Developer
Posted about 2 months ago
Remote
Cyprus
Germany
Serbia
Montenegro
Poland
R&D
Full time
Show more
Email my resume
Action1 collects and processes personal data in accordance with applicable data protection laws. If you are a European Job Applicant see the privacy notice for further details.
Action1 does not discriminate on the basis of race, sex, color, religion, age, national origin, marital status, disability, veteran status, genetic information, sexual orientation, gender identity or any other reason prohibited by law in provision of employment opportunities and benefits.
View website
Help
Accessibility",
10,new_urls,10,Adga,no,https://www.adga.ca/careers/,https://www.adga.ca/careers/,https://www.adga.ca/careers/,adga.ca,FOUND,https://www.adga.ca/careers/,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T00:41:56.628850+00:00,https://www.adga.ca/careers/,https://www.adga.ca/careers/,200,Careers - ADGA,,0,14,https://www.adga.ca/career/senior-modelling-simulation-software-developer/ | https://www.adga.ca/career/senior-navy-exercise-director-2/ | https://www.adga.ca/career/senior-computer-network-technician/ | https://www.adga.ca/career/senior-radio-frequency-system-specialist-2/ | https://www.adga.ca/career/intermediate-software-developer-hrms-applications-4/,confirmed_career_page_active,Employer-career language plus job records or job links,"Skip to content
Who We Are
Capabilities
Careers
Community
Insights
Contact
Search
FR
Careers

Meaningful careers for Canadians committed to protecting the safety and security of our country.

How to Apply
1
View
Opportunities

Review our available opportunities below. Filter to find the opportunities that fit your preferences.

2
Apply Online

Submit your application and relevant qualifications through our online portal.

3
Review and Discussion

Applications are reviewed by our team, with follow-up discussions as required.

4
Selection and Onboarding

Successful candidates are hired as employees and guided through onboarding, with opportunities to contribute to programs across defence, security, and public safety.

Available Opportunities
Viewing 24 results
SORT BY: NEWEST
SORT BY: OLDEST
SORT BY: A-Z
SORT BY: Z-A
Filter:
Work model
Hybrid (3)
Hybrid* (2)
On-site (18)
Remote (1)
Location
Chalk River (1)
Esquimalt (2)
La Macaza (1)
Laval (1)
Ottawa (17)
Port-Cartier (1)
Sainte-Anne-des-Plaines (1)
Employment type
Contract (7)
Full-time (17)
Senior Modelling & Simulation Software Developer
Ottawa
Software Architect
Ottawa
Senior Navy Exercise Director
Esquimalt
Defence
Senior Computer/Network Technician
Esquimalt
Senior Radio Frequency System Specialist
Ottawa
Defence
Intermediate Software Developer (HRMS Applications)
Ottawa
Defence
Needs Analysis and Research Consultant
Ottawa
Defence
Intelligence Mission Data Systems Analyst
Ottawa
Defence
Director, Digital Safety
Chalk Riv",
11,new_urls,11,Adtran,no,https://www.adtran.com/en/about-us/careers,https://www.adtran.com/en/about-us/careers,https://www.adtran.com/en/about-us/careers,adtran.com,FOUND,https://www.adtran.com/en/about-us/careers,,,,,,,,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,,2026-07-29T00:41:57.860153+00:00,https://www.adtran.com/en/about-us/careers,https://www.adtran.com/en/about-us/careers,200,Careers,workday,0,0,,external_ats_needs_review,"workday detected, but no jobs were confidently identified","Skip to main content
Careers Training Investors Partners Support Contact us Log in
Main Menu
Products and services
Expand Close Products
 
Innovation
Expand Close Innovation
 
Solutions
Expand Close Solutions
 
Industries
Expand Close Industries
 
Newsroom
Expand Close Newsroom
 
Resources
 
About us
Expand Close About
Open search
About us
Careers
Careers
Apprenticeships
Our best asset is our employees

Our founder Mark C. Smith once said:

""We are in the right place... We are in the right industry... And we have the right people.""

Our company's success is dependent on continuing this idea. Join us and be a part of our world-class team!

Find a career with us 

Why Adtran?

Our U.S. benefits

We offer a competitive benefits package to help you with health-related expenses for you and your family:

Medical, dental and vision coverage Life and disability insurance Flexible spending accounts Employee Assistance Program (EAP) Onsite medical services Fitness center Paid leave Adtran cafeterias Education assistance Team Adtran - corporate volunteer program

Transparency in Coverage Rule

The link below leads to the machine-readable files that are made available in response to the federal Transparency in Coverage Rule and includes negotiated service rates and out-of-network allowed amounts between health plans and healthcare providers. The machine-readable files are formatted to allow researchers, regulators, and application developers to more easily access and analyze data.

Blue ",
