record_id,organization_name,monitor_url,source_type,source_provider,source_listing_url,source_api_url,source_stage,previous_result,extraction_result,extraction_reason,jobs_found,extraction_error,extraction_checked_at_utc
7,Action1,https://apply.workable.com/action1/,ats,workable,https://apply.workable.com/action1/,,stage1,confirmed_external_ats_active,,,0,,
10,Adga,https://www.adga.ca/careers/,static_html_listing,,https://www.adga.ca/careers/,,stage1,confirmed_career_page_active,,,0,,
17,Aha,https://www.aha.io/company/careers/current-openings,static_html_listing,,https://www.aha.io/company/careers/current-openings,,stage1,confirmed_career_page_active,,,0,,
18,Careers,https://careers.aircanada.com/ca/en/,static_html_listing,,https://careers.aircanada.com/ca/en/,,stage1,confirmed_career_page_active,,,0,,
19,Airbus,https://www.airbus.com/en/careers,ats,workday,https://www.airbus.com/en/careers,,stage1,confirmed_external_ats_active,,,0,,
20,Akamai,https://www.akamai.com/careers,static_html_listing,,https://www.akamai.com/careers,,stage1,confirmed_career_page_active,,,0,,
21,Akkodis,https://www.akkodis.com/en/careers,static_html_listing,,https://www.akkodis.com/en/careers,,stage1,confirmed_career_page_active,,,0,,
26,Alpha-sense,https://www.alpha-sense.com/careers/,ats,greenhouse,https://www.alpha-sense.com/careers/,,stage1,confirmed_external_ats_active,,,0,,
31,Ampstek,https://www.ampstek.com/careers,static_html_listing,,https://www.ampstek.com/careers,,stage1,confirmed_career_page_active,,,0,,
33,Anaplan,https://www.anaplan.com/careers/,static_html_listing,,https://www.anaplan.com/careers/,,stage1,confirmed_career_page_active,,,0,,
37,Www1,https://www1.appliedsystems.com/en-us/about-us/careers/,ats,icims,https://www1.appliedsystems.com/en-us/about-us/careers/,,stage1,confirmed_external_ats_active,,,0,,
38,Aptiv,https://www.aptiv.com/en/jobs,static_html_listing,,https://www.aptiv.com/en/jobs,,stage1,confirmed_career_page_active,,,0,,
39,Aquanow,https://www.aquanow.com/careers,static_html_listing,,https://www.aquanow.com/careers,,stage1,confirmed_career_page_active,,,0,,
40,Arcticwolf,https://arcticwolf.com/company/careers/,ats,workday,https://arcticwolf.com/company/careers/,,stage1,confirmed_external_ats_active,,,0,,
43,Jobs,https://jobs.ashbyhq.com/ashby,ats,ashby,https://jobs.ashbyhq.com/ashby,,stage1,confirmed_external_ats_active,,,0,,
46,Careers,https://careers.asurion.com/us/en,static_html_listing,,https://careers.asurion.com/us/en,,stage1,confirmed_career_page_active,,,0,,
47,Attainfinance,https://attainfinance.com/careers,ats,icims,https://attainfinance.com/careers,,stage1,confirmed_external_ats_active,,,0,,
50,Aversan,https://www.aversan.com/careers/,static_html_listing,,https://www.aversan.com/careers/,,stage1,confirmed_career_page_active,,,0,,
52,Babylist,https://www.babylist.com/about/careers,ats,greenhouse,https://www.babylist.com/about/careers,,stage1,confirmed_external_ats_active,,,0,,
57,Jobs,https://jobs.bell.ca/ca/en,static_html_listing,,https://jobs.bell.ca/ca/en,,stage1,confirmed_career_page_active,,,0,,
64,Bioscript,https://recruiting.ultipro.ca/BIO5000BIOS/JobBoard/84b6fcd6-8994-4eef-b83b-3debe9cdc52b/?q=&o=postedDateDesc,static_html_listing,,https://recruiting.ultipro.ca/BIO5000BIOS/JobBoard/84b6fcd6-8994-4eef-b83b-3debe9cdc52b/?q=&o=postedDateDesc,,stage1,confirmed_career_page_active,,,0,,
66,Bitfreighter,https://www.bitfreighter.com/careers,ats,workable,https://www.bitfreighter.com/careers,,stage1,confirmed_external_ats_active,,,0,,
67,Block,https://block.xyz/careers/jobs?,static_html_listing,,https://block.xyz/careers/jobs?,,stage1,confirmed_career_page_active,,,0,,
69,Jobs,https://jobs.bmo.com/ca/en,ats,workday,https://jobs.bmo.com/ca/en,,stage1,confirmed_external_ats_active,,,0,,
71,Boomerangfx,https://www.boomerangfx.com/careers,static_html_listing,,https://www.boomerangfx.com/careers,,stage1,confirmed_career_page_active,,,0,,
72,Bouncie,https://www.bouncie.com/careers,ats,workable,https://www.bouncie.com/careers,,stage1,confirmed_external_ats_active,,,0,,
70,Bmt,https://www.bmt.org/careers/,static_html_listing,,https://www.bmt.org/careers/,,stage1,confirmed_career_page_active,,,0,,
75,Brunel,https://www.brunel.net/en/jobs,static_html_listing,,https://www.brunel.net/en/jobs,,stage1,confirmed_career_page_active,,,0,,
78,Butterflymx,https://butterflymx.com/careers/,static_html_listing,,https://butterflymx.com/careers/,,stage1,confirmed_career_page_active,,,0,,
81,Cbnco,https://www.cbnco.com/careers/,static_html_listing,,https://www.cbnco.com/careers/,,stage1,confirmed_career_page_active,,,0,,
82,Careers,https://careers.blood.ca/,static_html_listing,,https://careers.blood.ca/,,stage1,confirmed_career_page_active,,,0,,
87,Canarm,https://www.canarm.com/careers,static_html_listing,,https://www.canarm.com/careers,,stage1,confirmed_career_page_active,,,0,,
89,Capgemini,https://www.capgemini.com/careers/?page=1&size=11,static_html_listing,,https://www.capgemini.com/careers/?page=1&size=11,,stage1,confirmed_career_page_active,,,0,,
95,Certn,https://certn.co/careers/,ats,ashby,https://certn.co/careers/,,stage1,confirmed_external_ats_active,,,0,,
94,Cdmsmith,https://www.cdmsmith.com/Careers,static_html_listing,,https://www.cdmsmith.com/Careers,,stage1,confirmed_career_page_active,,,0,,
99,Cheo,https://www.cheo.on.ca/en/about-us/careers.aspx,ats,workday,https://www.cheo.on.ca/en/about-us/careers.aspx,,stage1,confirmed_external_ats_active,,,0,,
102,Cira,https://www.cira.ca/en/careers/,ats,bamboohr,https://www.cira.ca/en/careers/,,stage1,confirmed_external_ats_active,,,0,,
101,Careers,https://careers.cintas.com/,ats,successfactors,https://careers.cintas.com/,,stage1,confirmed_external_ats_active,,,0,,
107,Clario,https://clario.com/careers/,ats,workday,https://clario.com/careers/,,stage1,confirmed_external_ats_active,,,0,,
109,Clickhouse,https://clickhouse.com/company/careers,ats,greenhouse,https://clickhouse.com/company/careers,,stage1,confirmed_external_ats_active,,,0,,
111,Careers,https://recruiting.ultipro.com/COO5000COOP/JobBoard/163383cc-cbae-4201-956e-c5e437bbfeb3/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,static_html_listing,,https://recruiting.ultipro.com/COO5000COOP/JobBoard/163383cc-cbae-4201-956e-c5e437bbfeb3/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,,stage1,confirmed_career_page_active,,,0,,
