record_id,organization_name,monitor_url,source_type,source_provider,source_listing_url,source_api_url,source_stage,previous_result,extraction_result,extraction_reason,jobs_found,extraction_error,extraction_checked_at_utc
7,Action1,https://apply.workable.com/action1/,ats,workable,https://apply.workable.com/action1/,,stage1,,no_jobs_found,Unknown ATS: workable,0,,2026-07-29T01:52:22.435113+00:00
17,Aha,https://www.aha.io/company/careers/current-openings,static_html_listing,,https://www.aha.io/company/careers/current-openings,,stage1,,jobs_extracted,10 jobs found,10,,2026-07-29T01:52:22.442183+00:00
19,Airbus,https://www.airbus.com/en/careers,ats,workday,https://www.airbus.com/en/careers,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:22.443021+00:00
20,Akamai,https://www.akamai.com/careers,static_html_listing,,https://www.akamai.com/careers,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:22.643658+00:00
18,Careers,https://careers.aircanada.com/ca/en/,static_html_listing,,https://careers.aircanada.com/ca/en/,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:22.442615+00:00
31,Ampstek,https://www.ampstek.com/careers,static_html_listing,,https://www.ampstek.com/careers,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:22.905879+00:00
33,Anaplan,https://www.anaplan.com/careers/,static_html_listing,,https://www.anaplan.com/careers/,,stage1,,jobs_extracted,15 jobs found,15,,2026-07-29T01:52:23.099345+00:00
21,Akkodis,https://www.akkodis.com/en/careers,static_html_listing,,https://www.akkodis.com/en/careers,,stage1,,jobs_extracted,2 jobs found,2,,2026-07-29T01:52:22.783543+00:00
39,Aquanow,https://www.aquanow.com/careers,static_html_listing,,https://www.aquanow.com/careers,,stage1,,jobs_extracted,2 jobs found,2,,2026-07-29T01:52:23.523120+00:00
37,Www1,https://www1.appliedsystems.com/en-us/about-us/careers/,ats,icims,https://www1.appliedsystems.com/en-us/about-us/careers/,,stage1,,jobs_extracted,Unknown ATS: icims,2,,2026-07-29T01:52:23.289806+00:00
26,Alpha-sense,https://www.alpha-sense.com/careers/,ats,greenhouse,https://www.alpha-sense.com/careers/,,stage1,,jobs_extracted,204 jobs found,204,,2026-07-29T01:52:22.887446+00:00
38,Aptiv,https://www.aptiv.com/en/jobs,static_html_listing,,https://www.aptiv.com/en/jobs,,stage1,,jobs_extracted,2 jobs found,2,,2026-07-29T01:52:23.485583+00:00
43,Jobs,https://jobs.ashbyhq.com/ashby,ats,ashby,https://jobs.ashbyhq.com/ashby,,stage1,,no_jobs_found,Unknown ATS: ashby,0,,2026-07-29T01:52:23.911045+00:00
46,Careers,https://careers.asurion.com/us/en,static_html_listing,,https://careers.asurion.com/us/en,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:24.305611+00:00
40,Arcticwolf,https://arcticwolf.com/company/careers/,ats,workday,https://arcticwolf.com/company/careers/,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:23.862473+00:00
52,Babylist,https://www.babylist.com/about/careers,ats,greenhouse,https://www.babylist.com/about/careers,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:24.918110+00:00
47,Attainfinance,https://attainfinance.com/careers,ats,icims,https://attainfinance.com/careers,,stage1,,no_jobs_found,Unknown ATS: icims,0,,2026-07-29T01:52:24.338071+00:00
50,Aversan,https://www.aversan.com/careers/,static_html_listing,,https://www.aversan.com/careers/,,stage1,,jobs_extracted,1 jobs found,1,,2026-07-29T01:52:24.601725+00:00
57,Jobs,https://jobs.bell.ca/ca/en,static_html_listing,,https://jobs.bell.ca/ca/en,,stage1,,jobs_extracted,2 jobs found,2,,2026-07-29T01:52:25.063909+00:00
66,Bitfreighter,https://www.bitfreighter.com/careers,ats,workable,https://www.bitfreighter.com/careers,,stage1,,jobs_extracted,Unknown ATS: workable,2,,2026-07-29T01:52:25.145275+00:00
71,Boomerangfx,https://www.boomerangfx.com/careers,static_html_listing,,https://www.boomerangfx.com/careers,,stage1,,jobs_extracted,12 jobs found,12,,2026-07-29T01:52:25.695081+00:00
67,Block,https://block.xyz/careers/jobs?,static_html_listing,,https://block.xyz/careers/jobs?,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:25.416530+00:00
69,Jobs,https://jobs.bmo.com/ca/en,ats,workday,https://jobs.bmo.com/ca/en,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:25.611701+00:00
72,Bouncie,https://www.bouncie.com/careers,ats,workable,https://www.bouncie.com/careers,,stage1,,no_jobs_found,Unknown ATS: workable,0,,2026-07-29T01:52:25.925387+00:00
78,Butterflymx,https://butterflymx.com/careers/,static_html_listing,,https://butterflymx.com/careers/,,stage1,,jobs_extracted,5 jobs found,5,,2026-07-29T01:52:26.362147+00:00
10,Adga,https://www.adga.ca/careers/,static_html_listing,,https://www.adga.ca/careers/,,stage1,,jobs_extracted,34 jobs found,34,,2026-07-29T01:52:22.441622+00:00
70,Bmt,https://www.bmt.org/careers/,static_html_listing,,https://www.bmt.org/careers/,,stage1,,jobs_extracted,4 jobs found,4,,2026-07-29T01:52:26.010507+00:00
75,Brunel,https://www.brunel.net/en/jobs,static_html_listing,,https://www.brunel.net/en/jobs,,stage1,,jobs_extracted,7 jobs found,7,,2026-07-29T01:52:26.067607+00:00
87,Canarm,https://www.canarm.com/careers,static_html_listing,,https://www.canarm.com/careers,,stage1,,jobs_extracted,9 jobs found,9,,2026-07-29T01:52:27.022414+00:00
82,Careers,https://careers.blood.ca/,static_html_listing,,https://careers.blood.ca/,,stage1,,jobs_extracted,4 jobs found,4,,2026-07-29T01:52:26.753720+00:00
64,Bioscript,https://recruiting.ultipro.ca/BIO5000BIOS/JobBoard/84b6fcd6-8994-4eef-b83b-3debe9cdc52b/?q=&o=postedDateDesc,static_html_listing,,https://recruiting.ultipro.ca/BIO5000BIOS/JobBoard/84b6fcd6-8994-4eef-b83b-3debe9cdc52b/?q=&o=postedDateDesc,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:25.120412+00:00
95,Certn,https://certn.co/careers/,ats,ashby,https://certn.co/careers/,,stage1,,jobs_extracted,Unknown ATS: ashby,2,,2026-07-29T01:52:27.270977+00:00
102,Cira,https://www.cira.ca/en/careers/,ats,bamboohr,https://www.cira.ca/en/careers/,,stage1,,no_jobs_found,Unknown ATS: bamboohr,0,,2026-07-29T01:52:28.305371+00:00
81,Cbnco,https://www.cbnco.com/careers/,static_html_listing,,https://www.cbnco.com/careers/,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:26.651693+00:00
99,Cheo,https://www.cheo.on.ca/en/about-us/careers.aspx,ats,workday,https://www.cheo.on.ca/en/about-us/careers.aspx,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:28.054060+00:00
94,Cdmsmith,https://www.cdmsmith.com/Careers,static_html_listing,,https://www.cdmsmith.com/Careers,,stage1,,jobs_extracted,4 jobs found,4,,2026-07-29T01:52:27.330851+00:00
109,Clickhouse,https://clickhouse.com/company/careers,ats,greenhouse,https://clickhouse.com/company/careers,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:28.568175+00:00
107,Clario,https://clario.com/careers/,ats,workday,https://clario.com/careers/,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:28.562106+00:00
113,Colabsoftware,https://www.colabsoftware.com/careers,ats,greenhouse,https://www.colabsoftware.com/careers,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:28.870204+00:00
101,Careers,https://careers.cintas.com/,ats,successfactors,https://careers.cintas.com/,,stage1,,jobs_extracted,Unknown ATS: successfactors,2,,2026-07-29T01:52:28.457666+00:00
124,Cresta,https://cresta.com/careers,static_html_listing,,https://cresta.com/careers,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:29.132111+00:00
111,Careers,https://recruiting.ultipro.com/COO5000COOP/JobBoard/163383cc-cbae-4201-956e-c5e437bbfeb3/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,static_html_listing,,https://recruiting.ultipro.com/COO5000COOP/JobBoard/163383cc-cbae-4201-956e-c5e437bbfeb3/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:28.677456+00:00
129,Careers,https://careers.cushmanwakefield.com/en/,ats,workday,https://careers.cushmanwakefield.com/en/,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:29.763536+00:00
122,Covergo,https://covergo.com/careers/,ats,workable,https://covergo.com/careers/,,stage1,,no_jobs_found,Unknown ATS: workable,0,,2026-07-29T01:52:28.991540+00:00
128,Careers,https://curtisswright.com/careers,ats,workday,https://curtisswright.com/careers,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:29.341717+00:00
131,Cybrid,https://cybrid.xyz/careers,ats,greenhouse,https://cybrid.xyz/careers,,stage1,,jobs_extracted,1 jobs found,1,,2026-07-29T01:52:29.813952+00:00
134,Datassential,https://datassential.com/careers/,ats,workable,https://datassential.com/careers/,,stage1,,jobs_extracted,Unknown ATS: workable,2,,2026-07-29T01:52:29.932106+00:00
132,Dwavequantum,https://www.dwavequantum.com/company/careers/,ats,rippling,https://www.dwavequantum.com/company/careers/,,stage1,,jobs_extracted,Unknown ATS: rippling,6,,2026-07-29T01:52:29.922291+00:00
136,Dcc-cdc,https://www.dcc-cdc.gc.ca/careers,ats,taleo,https://www.dcc-cdc.gc.ca/careers,,stage1,,no_jobs_found,Unknown ATS: taleo,0,,2026-07-29T01:52:30.157913+00:00
89,Capgemini,https://www.capgemini.com/careers/?page=1&size=11,static_html_listing,,https://www.capgemini.com/careers/?page=1&size=11,,stage1,,jobs_extracted,14 jobs found,14,,2026-07-29T01:52:27.069723+00:00
141,Docker,https://www.docker.com/careers/,static_html_listing,,https://www.docker.com/careers/,,stage1,,jobs_extracted,5 jobs found,5,,2026-07-29T01:52:32.284186+00:00
140,Dt,https://www.dt.com/about-us/careers/,static_html_listing,,https://www.dt.com/about-us/careers/,,stage1,,jobs_extracted,4 jobs found,4,,2026-07-29T01:52:32.282830+00:00
158,Emeritus,https://careers.emeritus.org/,static_html_listing,,https://careers.emeritus.org/,,stage1,,jobs_extracted,3 jobs found,3,,2026-07-29T01:52:32.713421+00:00
138,Careers,https://careers.deloitte.ca/,static_html_listing,,https://careers.deloitte.ca/,,stage1,,jobs_extracted,4 jobs found,4,,2026-07-29T01:52:32.281672+00:00
156,Elevenlabs,https://elevenlabs.io/careers,static_html_listing,,https://elevenlabs.io/careers,,stage1,,jobs_extracted,3 jobs found,3,,2026-07-29T01:52:32.585682+00:00
164,Ericsson,https://www.ericsson.com/en/careers,static_html_listing,,https://www.ericsson.com/en/careers,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:32.967665+00:00
152,Careers,https://jobs.egis-group.com/,ats,smartrecruiters,https://jobs.egis-group.com/,,stage1,,jobs_extracted,Unknown ATS: smartrecruiters,7,,2026-07-29T01:52:32.285226+00:00
166,Exeevo,https://exeevo.com/about-us/careers/,ats,bamboohr,https://exeevo.com/about-us/careers/,,stage1,,jobs_extracted,Unknown ATS: bamboohr,4,,2026-07-29T01:52:33.075930+00:00
161,Epicgames,https://www.epicgames.com/site/careers?lang=en-US,static_html_listing,,https://www.epicgames.com/site/careers?lang=en-US,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:32.931143+00:00
170,Farber,https://www.farber.ca/careers,static_html_listing,,https://www.farber.ca/careers,,stage1,,no_jobs_found,No jobs extracted,0,,2026-07-29T01:52:33.400272+00:00
167,Exp,https://www.exp.com/careers/,ats,oracle,https://www.exp.com/careers/,,stage1,,jobs_extracted,Unknown ATS: oracle,9,,2026-07-29T01:52:33.169063+00:00
172,Farmboy,https://www.farmboy.ca/careers/,ats,smartrecruiters,https://www.farmboy.ca/careers/,,stage1,,no_jobs_found,Unknown ATS: smartrecruiters,0,,2026-07-29T01:52:33.401584+00:00
174,Fellow,https://fellow.ai/careers,ats,bamboohr,https://fellow.ai/careers,,stage1,,jobs_extracted,Unknown ATS: bamboohr,2,,2026-07-29T01:52:33.607302+00:00
178,Forwardfinancing,https://www.forwardfinancing.com/careers/,static_html_listing,,https://www.forwardfinancing.com/careers/,,stage1,,jobs_extracted,2 jobs found,2,,2026-07-29T01:52:33.662336+00:00
185,Gflenv,https://careers.gflenv.com/,static_html_listing,,https://careers.gflenv.com/,,stage1,,jobs_extracted,6 jobs found,6,,2026-07-29T01:52:34.436108+00:00
169,Careers,https://careers.ey.com/,static_html_listing,,https://careers.ey.com/,,stage1,,jobs_extracted,1 jobs found,1,,2026-07-29T01:52:33.351282+00:00
