source_type,source_provider,total_jobs,pct_with_location,pct_with_url,pct_with_description,pct_long_titles
ats,greenhouse,605,100.0,100.0,100.0,0.3
static_html_listing,,592,3.0,82.3,0.0,22.0
ats,lever,152,100.0,100.0,100.0,0.7
ats,rippling,65,0.0,6.2,0.0,53.8
ats,ashby,63,6.3,93.7,0.0,17.5
ats,bamboohr,20,0.0,95.0,0.0,15.0
ats,oracle,15,0.0,93.3,0.0,6.7
ats,icims,11,0.0,100.0,0.0,45.5
ats,smartrecruiters,8,0.0,100.0,0.0,0.0
ats,workable,3,0.0,100.0,0.0,33.3
ats,successfactors,2,50.0,100.0,0.0,0.0
ats,applytojob,2,0.0,100.0,0.0,0.0
