record_id,source_file,source_row,organization_name_original,unresolved_q_identifier,input_website,final_website,canonical_website,normalized_domain,original_status,career_url,link_text,score,ats_provider_detected,evidence,candidate_count,initial_classification,classification_reason,retry_category,recommended_next_action,processing_queue,error,organization_name_resolved,ottawa_relationship,ottawa_evidence,validation_status,validation_notes,last_processed,checked_at_utc,requested_url,loaded_url,http_status,page_title,detected_ats,jsonld_jobposting_count,probable_job_link_count,sample_job_links,validation_result,validation_reason,body_text_sample,crawl_error,stage2_checked_at_utc,stage2_result,stage2_reason,resolved_monitor_url,resolved_ats,stage2_jsonld_jobposting_count,stage2_probable_job_link_count,stage2_sample_job_links,candidate_urls_found,candidate_visits_json,stage2_error
16,found.csv,17,5N Plus Inc.,no,https://5nplus.com/,https://www.5nplus.com/en/,https://www.5nplus.com/en/,5nplus.com,FOUND,https://www.5nplus.com/en/career/,Careers,140,,strong careers/jobs link text; careers/jobs URL path,1,likely_employer_career_page,Career-related link text or URL path,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,2026-07-17,2026-07-17T21:22:00.826135+00:00,https://www.5nplus.com/en/career/,https://www.5nplus.com/en/career/,200,Career | 5N Plus,,0,0,,probable_career_page_needs_review,"Career language detected, but job state is unclear","Careers
Contact us
Français
Deutsch
About Us
Markets
Products
Innovation
Sustainability
Investors
News
DEUTSCH
Home 
Career
Careers
Join our team!

At 5N Plus we are building a culture of innovation, collaboration and growth. We are looking for passionate individuals ready to make an impact. Explore our open positions and submit your application today.

OUR JOB POSTINGS
Why Work at 5N Plus?

At 5N Plus, our mission is to be critical to our customers, valued by our employees and trusted by our shareholders. Find out more about how this translates in our day-to-day work and corporate culture

Our
Culture
Career Development

To ensure we have the talented resources we need to realise our vision, we provide stimulating career opportunities, training, continuous learning through projects and assignments to our people to develop and prepare for their next challenge.

A Preferred Employer, Driving Innovation

Success starts with the right talent and we are fortunate to have some of the best resources in our industry to generate innovative ideas for our customers. This, combined with a high level of employee engagement, enables us to efficiently deliver high quality products to our clients and prepare for future business opportunities.

Respect in Meeting Employee Needs

We respect the cultural, historical and regional differences at all our global locations and we ask our people what they want and need through employee surveys, focus groups and informal meetings. We ask what we are",,2026-07-18T14:46:38.603760+00:00,confirmed_career_landing_unresolved,Valid career landing page; downstream job source not resolved,https://www.5nplus.com/en/career/,,0,0,,115:https://www.5nplus.com/en/career/ | 60:https://www.5nplus.com/en/career/jobs-list/,"[{""url"": ""https://www.5nplus.com/en/career/jobs-list/"", ""result"": ""confirmed_career_landing_unresolved"", ""ats"": """", ""score"": 60}]",
13,found.csv,14,613 Electric Inc,no,https://613electric.com/,https://613electric.com/,https://613electric.com/,613electric.com,FOUND,https://613electric.com/join-our-team-3/,JOIN OUR TEAM,80,,strong careers/jobs link text,1,likely_employer_career_page,Career-related link text or URL path,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,2026-07-17,2026-07-17T21:21:54.961317+00:00,https://613electric.com/join-our-team-3/,https://613electric.com/join-our-team-3/,200,JOIN OUR TEAM – 613 Electric Inc.,,0,0,,probable_career_page_needs_review,"Career language detected, but job state is unclear","613-870-3550
 613-870-3551
 24 / 7
 admin@613electric.com
	
ABOUT US
OUR SERVICES
CONTACT US
JOIN OUR TEAM
REQUEST A QUOTE
JOIN OUR TEAM
	
You Are Here:
HOME
/
JOIN OUR TEAM

At 613 Electric, we believe great companies are built by great people – and we’re always looking for skilled, motivated individuals to grow with us. Whether you’re an experienced electrician or just starting your career in the trade, you’ll find a supportive environment, opportunities to learn, and team that values quality workmanship and professionalism.

We take pride in our work, our clients, and the people who represent our company every day. If you’re passionate about the electrical field and driven to deliver top-quality results, we’d love to hear from you.

Fill out the form below to get started.

© Copyright 2019 - 613 Electric Inc",,2026-07-18T14:46:41.032838+00:00,confirmed_career_landing_unresolved,Valid career landing page; downstream job source not resolved,https://613electric.com/join-our-team-3/,,0,0,,65:https://form.jotform.com/253295136537260?parentURL=https%3A%2F%2F613electric.com%2Fjoin-our-team-3%2F&jsForm=true,"[{""url"": ""https://form.jotform.com/253295136537260?parentURL=https%3A%2F%2F613electric.com%2Fjoin-our-team-3%2F&jsForm=true"", ""result"": ""confirmed_career_landing_unresolved"", ""ats"": """", ""score"": 65}]",
20,found.csv,21,ABCO Industries Lunenburg Shipyard,no,https://abco.ca/,https://abco.ca/,https://abco.ca/,abco.ca,FOUND,https://abco.ca/careers/,Careers,140,,strong careers/jobs link text; careers/jobs URL path,1,likely_employer_career_page,Career-related link text or URL path,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,2026-07-17,2026-07-17T21:22:06.566630+00:00,https://abco.ca/careers/,https://abco.ca/careers/,200,Careers - ABCO,,0,0,,probable_career_page_needs_review,"Career language detected, but job state is unclear","Skip to content
Home
Industries
About ABCO
Resources
Careers
Contact
Discuss Your Project
HOME / CAREERS
JOIN OUR TEAM

Build your career working on real engineering challenges — where precision, accountability, and performance matter.

Why Work At ABCO
A CULTURE OF EXCELLENCE


We work on projects that require precision, accountability, and real problem-solving.

Whether in engineering, fabrication, or operations, every role contributes directly to building solutions that perform in demanding environments.

At ABCO, you’re not just part of a team — you’re part of delivering work that matters.

“Having the right attitude is very important. If you have the right attitude, we’re willing to train and promote you. We’ll provide what you need to do your job properly. ”

— GRAHAM GERHARDT – PRESIDENT, ABCO

Open Positions
CURRENT OPPORTUNITIES
FABRICATOR/WELDER
FULL-TIME // LUNENBURG, NS
NAVAL ARCHITECT
FULL-TIME // LUNENBURG, NS
MACHINIST
FULL-TIME // LUNENBURG, NS
MARINE ELECTRICIAN
FULL-TIME // LUNENBURG, NS
LABOURER
FULL-TIME // LUNENBURG, NS

81 TANNERY ROAD LUNENBURG, NOVA SCOTIA, CANADA B0J 2C0

(866) 634-8821

INFO@ABCO.CA

WHAT WE DO
Aluminum Vessels
Industrial Systems
Environmental
COMPANY
About ABCO
Why ABCO
Careers – Open Positions
GET IN TOUCH

Don’t miss the latest news

Receive ABCO News

© 2026 ABCO Industries. All rights reserved.

Privacy Policy | Terms of Service",,2026-07-18T14:46:43.680937+00:00,confirmed_career_landing_unresolved,Valid career landing page; downstream job source not resolved,https://abco.ca/careers/,,0,0,,60:https://abco.ca/careers/#main,[],
36,found.csv,37,Acceleware,no,https://acceleware.com/,https://www.acceleware.com/,https://www.acceleware.com/,acceleware.com,FOUND,https://www.acceleware.com/careers,Careers,140,,strong careers/jobs link text; careers/jobs URL path,2,likely_employer_career_page,Career-related link text or URL path,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,2026-07-17,2026-07-17T21:22:44.776407+00:00,https://www.acceleware.com/careers,https://www.acceleware.com/careers,200,Careers | Acceleware,,0,0,,probable_career_page_needs_review,"Career language detected, but job state is unclear","Our Company
Technology
Applications
Investors
News & Publications
Videos
Careers
If you are interested in working with Acceleware to help create a clean energy future on a global scale, please look through current job opportunities posted below. If we don’t have any current openings, we would still love to hear from you!

Please email your resume and cover letter to: info@acceleware.com

EMPower Your Heat 

403.249.9099

info@acceleware.com

Suite 102 – 1822 2nd Street SW Calgary, Alberta

T2S 1R9

Privacy 

Legal

Stay informed,  join our mailing list

Enter your email here
Submit

© 2026 Acceleware Ltd. All Rights Reserved.

We use cookies on our website to see how you interact with it. By accepting, you agree to our use of such cookies.Privacy Policy
Settings
Accept",,2026-07-18T14:47:19.719530+00:00,confirmed_career_landing_unresolved,Valid career landing page; downstream job source not resolved,https://www.acceleware.com/careers,,0,0,,115:https://www.acceleware.com/careers,[],
48,found.csv,49,Acera Services Ltd (formerly Smith Petrie Carr & Scott),no,https://acera.ca/,https://acera.ca/,https://acera.ca/,acera.ca,FOUND,https://acera.ca/careers/,Careers,140,,strong careers/jobs link text; careers/jobs URL path,1,likely_employer_career_page,Career-related link text or URL path,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,2026-07-17,2026-07-17T21:23:20.145062+00:00,https://acera.ca/careers/,https://acera.ca/careers/,200,Careers at Acera Insurance | See Current Opportunities,,0,0,,probable_career_page_needs_review,"Career language detected, but job state is unclear","Skip to content

Acera Insurance and Navacord have united to provide Canadians with greater choice and solutions. Learn more.

×
Personal
Business
Benefits
Find a Branch
Claims
Payments
Careers
Contact
Select your region
Region
AB
BC
MB
NB
NL
NT
NS
NU
ON
PE
QC
SK
YT
AUTO & RECREATIONAL
HOME & PROPERTY
LIFE, HEALTH & TRAVEL
GET A QUOTE

Careers at Acera Insurance

Changing the way people feel about a career in insurance.

Choose a career that empowers you to excel in and take ownership of your work, while having fun. Choose a career with Acera Insurance — we put people first!

See Current Opportunities
(opens in a new tab)
Be a part of our growing team.

As an employer of choice, Acera Insurance offers an outstanding workplace and employee culture that creates valuable opportunities for all of our employees.

Choosing a career with Acera Insurance means you’ll be:

Encouraged to challenge the status quo and never stop learning in your commitment to excellence.
Empowered with a sense of accountability and autonomy to take ownership of your work.
Treated with respect as we put our people first.
Recognized for your achievements and engaged in festivities — big and small — that make work fun.

If this sounds good to you, come join our network of more than 1,300 professionals.

About Acera Insurance

As the largest independent, employee-controlled brokerage in Canada, we provide our employees with a unique opportunity to change the way people feel about insurance. That’s because we",,2026-07-18T14:47:46.672904+00:00,confirmed_career_landing_unresolved,Valid career landing page; downstream job source not resolved,https://acera.ca/careers/,,0,0,,70:https://careers.acera.ca/?_gl=1*8n0co6*_ga*MTQ2MTMwOTA3Ni4xNzA0MjM0NjQw*_ga_TKPVE0V8BR*MTcxMjA5NzQ3MS42OS4wLjE3MTIwOTc0NzEuMC4wLjA | 60:https://acera.ca/careers/#content,"[{""url"": ""https://careers.acera.ca/?_gl=1*8n0co6*_ga*MTQ2MTMwOTA3Ni4xNzA0MjM0NjQw*_ga_TKPVE0V8BR*MTcxMjA5NzQ3MS42OS4wLjE3MTIwOTc0NzEuMC4wLjA"", ""result"": ""confirmed_career_landing_unresolved"", ""ats"": """", ""score"": 70}]",
54,found.csv,55,ACT Alberta,no,https://actalberta.org/,https://www.weareact.org/,https://www.weareact.org/,weareact.org,FOUND,https://www.weareact.org/work-with-us,Work With Us,140,,strong careers/jobs link text; careers/jobs URL path,2,likely_employer_career_page,Career-related link text or URL path,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,2026-07-17,2026-07-17T21:23:36.247656+00:00,https://www.weareact.org/work-with-us,https://www.weareact.org/work-with-us,200,Work With Us | Join Us to Make a Difference Today — We are ACT,,0,0,,probable_career_page_needs_review,"Career language detected, but job state is unclear","Need help? Call us at 780-474-1104 or contact the Canadian Human Trafficking Hotline at 1-833-900-1010.  
Quick exit

Skip to Content
Victim Services
Education
It Takes a Village
About
Get Involved
English
Get Help
Donate
Join our team
Help support trauma-informed, life-changing care.

ACT provides direct front-line support to victims and survivors of human trafficking. Learn more about how you can create a life changing impact and work toward an Alberta free of human trafficking.  

Whether you support ACT as a survivor, an advocate, or because you believe in the importance of human rights for all, thank you.

Current Opportunities

ACT (Action Coalition on Human Trafficking)

PO Box 43034 RPO Deer Valley
Calgary, AB T2J 7A7
MAIN: 780.474.1104
EMAIL: info@actalberta.org

ACT is a registered charity and non-profit organization operating under the Alberta Societies Act. 
Charitable Registration #: 830548400 RR0001",,2026-07-18T14:47:56.320941+00:00,confirmed_career_landing_unresolved,Valid career landing page; downstream job source not resolved,https://www.weareact.org/work-with-us,,0,0,,,[],
60,found.csv,61,Acuitas Therapeutics (Canada),no,https://acuitastx.com/,https://acuitastx.com/,https://acuitastx.com/,acuitastx.com,FOUND,https://acuitastx.com/careers/,Careers,140,,strong careers/jobs link text; careers/jobs URL path,1,likely_employer_career_page,Career-related link text or URL path,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,2026-07-17,2026-07-17T21:24:00.247170+00:00,https://acuitastx.com/careers/,https://acuitastx.com/careers/,200,Current Job Openings At Acuitas Therapeutics,,0,0,,probable_career_page_needs_review,"Career language detected, but job state is unclear","We value your privacy

We use cookies to enhance your browsing experience, serve personalised ads or content, and analyse our traffic. By clicking ""Accept All"", you consent to our use of cookies. Cookie Policy

Customise
Reject All
Accept All
Powered by
Go to content
Careers
News & Insights
Contact
Search
STRATEGY
Toggle submenu
THE ACUITAS ADVANTAGE
OUR PARTNERSHIPS
OUR CAPABILITIES
SCIENCE
Toggle submenu
OUR LNP TECHNOLOGY
OUR CLINICAL APPLICATIONS
COMPANY
Toggle submenu
ABOUT US
OUR TEAM
OUR COMMUNITY IMPACT
HOME
CAREERS
Acuitas is a GREAT place to work.
TESTIMONIALS

“I’ve worked at more than 10 different companies during my career, and nothing comes close to my experience at Acuitas. The respect I’ve been shown and the empowerment I’ve been given have been second to none. I have the freedom and flexibility to perform my tasks according to my own schedule and preferences. I truly felt like a valued team member from day one.”

– Will, Senior Manager, Finance

“Acuitas offers a unique work environment culture that sets it apart. The atmosphere is both collaborative and innovative, fostering creativity and growth. I have opportunities to work on diverse, exciting projects with an incredibly talented and supportive team that values collaboration and creativity. The company’s commitment to employee development and well-being is truly exceptional. Something that stands out is how relaxed, but efficient the team is. I’m grateful to be part of such a forward-thinking and dynamic",,2026-07-18T14:48:15.231549+00:00,confirmed_career_landing_unresolved,Valid career landing page; downstream job source not resolved,https://acuitastx.com/careers/,,0,0,,,[],
61,found.csv,62,Active Ethernet Passive Optical Networks Over λ MultipleXing (Canada),no,https://aeponyx.com/,https://www.aeponyx.com/,https://www.aeponyx.com/,aeponyx.com,FOUND,https://www.aeponyx.com/careers,Careers,140,,strong careers/jobs link text; careers/jobs URL path,1,likely_employer_career_page,Career-related link text or URL path,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,2026-07-17,2026-07-17T21:24:04.867444+00:00,https://www.aeponyx.com/careers,https://www.aeponyx.com/careers,200,Careers - Learn why people love to work at AEPONYX,,0,0,,probable_career_page_needs_review,"Career language detected, but job state is unclear","Technology
Applications
R.O.C.S. 2 White Paper
Tunable laser
Tunable optical filtering-switching
Company
About us
Contact
Careers
Privacy
News
EN
Join Us




Do what you love!




Are you looking to join a talented team that's creating an amazing future?










AEPONYX IS YOUR PLACE










We'd love to talk with you, especially if you




Have innovative ideas

Can both teach and learn

Have a passion for technology

Love working with teams

And enjoy having fun!

View available positions on Pasqal's careers page
Join us now to build tomorrow
Spontaneous application
Please contact us if you are interested in integrated photonics.
We are regularly looking for candidates matching the following profiles:
Photonics designer
PIC packaging designer
Electronics designer﻿
Optoelectronics test engineer
Trainee engineer.
Submit your application

We are available 24/7

Name*:
Email*:
Phone:
Message:
Resume
Attach your resume  

By checking, I agree to share my form responses.

Optical | Electronics | Mechanical
Design/Fab | Assembly | Test
Supply Chain | Business
© 2026 

All Rights Reserved | AEPONYX Inc. | Privacy

We use cookies to ensure that we give you the best experience on our website.

To learn more, go to our Privacy Page.

Nous utilisons des cookies pour nous assurer que vous bénéficiez de la meilleure expérience possible sur notre site web.

Pour en savoir plus, consultez notre page sur la protection de la vie privée.

×",,2026-07-18T14:48:25.798834+00:00,confirmed_career_landing_unresolved,Valid career landing page; downstream job source not resolved,https://www.aeponyx.com/careers,,0,0,,70:https://www.pasqal.com/careers/,"[{""url"": ""https://www.pasqal.com/careers/"", ""result"": ""confirmed_career_landing_unresolved"", ""ats"": """", ""score"": 70}]",
65,found.csv,66,ADD Centre,no,https://addcentre.com/,https://www.addcentre.com/,https://www.addcentre.com/,addcentre.com,FOUND,https://www.addcentre.com/jobs-add-centre,Jobs,80,,strong careers/jobs link text,1,likely_employer_career_page,Career-related link text or URL path,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,2026-07-17,2026-07-17T21:24:09.820099+00:00,https://www.addcentre.com/jobs-add-centre,https://www.addcentre.com/jobs-add-centre,200,Work With Us | Toronto & Mississauga | The ADD Centre,,0,0,,probable_career_page_needs_review,"Career language detected, but job state is unclear","Skip to Main Content
Call Now

Home

Neurofeedback

Our Services

Research

About Us

Contact Us

Jobs

Job

Psychologist Position

Part Time Job

Volunteer Position

Job

Part-Time Neurofeedback
Trainer
Find out more about our in-person brain training services.
The ADD Centre & The Biofeedback Institute of Toronto
Improve your focus, reduce anxiety, and build resilience with our proven brain training approach.

(905) 803-8066

addcentre@gmail.com

Start here:
Brain Training
Brain Mapping
Psychoeducational Assessments
Comprehensive Assessments
HRV Training
Cogmed Working Memory Training
Optimal Performance Training
Remote Training

Privacy Policy

ADD Centre Head Office
in Mississauga:
50 Village Centre Place
Suite 200
L4Z 1V9 
Mississauga, ON

Visit us on Google

ADD Centre Toronto Office:
3419-A Yonge Street, 2nd Floor
M4N 2N1
North York, Toronto, ON. 

© 2026 The ADD Centre & The Biofeedback Institute of Toronto

×
This website uses cookies
We use cookies to personalize content and ads and to analyze our traffic. We also share information about your use of our site with our advertising and analytics partners who may combine it with other information you have provided to them or that they have collected from your use of their services. Privacy Policy
 SHOW DETAILS
ACCEPT ALL
DECLINE ALL
COOKIE DECLARATION
ABOUT COOKIES
Strictly necessary
Performance
Targeting
Functionality
Unclassified
Strictly necessary cookies allow core website functionality such as user login and accoun",,2026-07-18T14:48:32.100410+00:00,confirmed_career_landing_unresolved,Valid career landing page; downstream job source not resolved,https://www.addcentre.com/jobs-add-centre,,0,0,,60:https://www.addcentre.com/jobs | 60:https://www.addcentre.com/jobs-add-centre,"[{""url"": ""https://www.addcentre.com/jobs"", ""result"": ""needs_manual_review"", ""ats"": """", ""score"": 60}]",
70,found.csv,71,Advantage Car and Truck Rentals,no,https://advantagecarrentals.com/,https://www.advantagecarrentals.com/,https://www.advantagecarrentals.com/,advantagecarrentals.com,FOUND,https://www.advantagecarrentals.com/car-rental/business-backup/careers/,Careers,140,,strong careers/jobs link text; careers/jobs URL path,1,likely_employer_career_page,Career-related link text or URL path,,validate_page_and_extract_jobs,career_validation,,,,,unreviewed,,2026-07-17,2026-07-17T21:24:22.682203+00:00,https://www.advantagecarrentals.com/car-rental/business-backup/careers/,https://www.advantagecarrentals.com/car-rental/business-backup/careers/,200,Careers – Advantage Car and Truck Rentals – Advantage Car and Truck Rentals,,0,0,,probable_career_page_needs_review,"Career language detected, but job state is unclear","Locations
 
Our Fleet
 
Delivery
 
Business Saver
 
Truck Rental
 
Contact Us
 
Explore
Manage Bookings
Pick-up / Delivery location
Pick up Date
July2026
Sun	Mon	Tue	Wed	Thu	Fri	Sat

28
	
29
	
30
	
1
	
2
	
3
	
4


5
	
6
	
7
	
8
	
9
	
10
	
11


12
	
13
	
14
	
15
	
16
	
17
	
18


19
	
20
	
21
	
22
	
23
	
24
	
25


26
	
27
	
28
	
29
	
30
	
31
	
1


2
	
3
	
4
	
5
	
6
	
7
	
8
Pick up Time
12:00 am
12:15 am
12:30 am
12:45 am
1:00 am
1:15 am
1:30 am
1:45 am
2:00 am
2:15 am
2:30 am
2:45 am
3:00 am
3:15 am
3:30 am
3:45 am
4:00 am
4:15 am
4:30 am
4:45 am
5:00 am
5:15 am
5:30 am
5:45 am
6:00 am
6:15 am
6:30 am
6:45 am
7:00 am
7:15 am
7:30 am
7:45 am
8:00 am
8:15 am
8:30 am
8:45 am
9:00 am
9:15 am
9:30 am
9:45 am
10:00 am
10:15 am
10:30 am
10:45 am
11:00 am
11:15 am
11:30 am
11:45 am
12:00 pm
12:15 pm
12:30 pm
12:45 pm
1:00 pm
1:15 pm
1:30 pm
1:45 pm
2:00 pm
2:15 pm
2:30 pm
2:45 pm
3:00 pm
3:15 pm
3:30 pm
3:45 pm
4:00 pm
4:15 pm
4:30 pm
4:45 pm
5:00 pm
5:15 pm
5:30 pm
5:45 pm
6:00 pm
6:15 pm
6:30 pm
6:45 pm
7:00 pm
7:15 pm
7:30 pm
7:45 pm
8:00 pm
8:15 pm
8:30 pm
8:45 pm
9:00 pm
9:15 pm
9:30 pm
9:45 pm
10:00 pm
10:15 pm
10:30 pm
10:45 pm
11:00 pm
11:15 pm
11:30 pm
11:45 pm
12:00 pm
Drop off Date
July2026
Sun	Mon	Tue	Wed	Thu	Fri	Sat

28
	
29
	
30
	
1
	
2
	
3
	
4


5
	
6
	
7
	
8
	
9
	
10
	
11


12
	
13
	
14
	
15
	
16
	
17
	
18


19
	
20
	
21
	
22
	
23
	
24
	
25


26
	
27
	
28
	
29
	
30
	
31
	
1


2
	
3
	
4
	
5
	
6
	
7
	
8
Drop off Time
12:00 am
12:15 am
12:30 am
12:45 am
1:00 am
1:15 am
1:3",,2026-07-18T14:48:32.201282+00:00,confirmed_career_landing_unresolved,Valid career landing page; downstream job source not resolved,https://www.advantagecarrentals.com/car-rental/business-backup/careers/,,0,0,,60:https://www.advantagecarrentals.com/car-rental/business-backup/careers/#login,[],
